Player,Age,Team,Posicion
Alessandro Florenzi,33,Milan,DF
Bob Murphy Omoregbe,20,Milan,FW
Hugo Cuenca,19,Milan,MF
Lapo Nava,20,Milan,GK
Noah Raveyre,19,Milan,GK
Lorenzo Torriani,19,Milan,GK
Silvano Vos,19,Milan,MF
Walter Benítez,31,PSV Eindhoven,GK
Ryan Flamingo,21,PSV Eindhoven,DF
Olivier Boscagli,26,PSV Eindhoven,DF
Luuk de Jong,33,PSV Eindhoven,FW
Guus Til,26,PSV Eindhoven,MF
Mauro Júnior,25,PSV Eindhoven,DF
Noa Lang,25,PSV Eindhoven,FW
Malik Tillman,22,PSV Eindhoven,MF
Joey Veerman,25,PSV Eindhoven,MF
Ivan Perišić,35,PSV Eindhoven,FW
Richy Ledezma,23,PSV Eindhoven,DF
Ismael Saibari,23,PSV Eindhoven,MF
Johan Bakayoko,21,PSV Eindhoven,FW
Jerdy Schouten,27,PSV Eindhoven,MF
Matteo Dams,20,PSV Eindhoven,DF
Rick Karsdorp,29,PSV Eindhoven,DF
Ricardo Pepi,21,PSV Eindhoven,FW
Armando Obispo,25,PSV Eindhoven,DF
Sergiño Dest,23,PSV Eindhoven,DF
Tyrell Malacia,24,PSV Eindhoven,DF
Fredrik Oppegard,21,PSV Eindhoven,DF
Hirving Lozano,29,PSV Eindhoven,FW
Isaac Babadi,19,PSV Eindhoven,MF
Adamo Nagalo,21,PSV Eindhoven,DF
Couhaib Driouech,22,PSV Eindhoven,FW
Joel Drommel,27,PSV Eindhoven,GK
Jordan Teze,24,PSV Eindhoven,DF
Tygo Land,18,PSV Eindhoven,MF
Esmir Bajraktarevic,19,PSV Eindhoven,MF
Lucas Pérez,35,PSV Eindhoven,FW
Wessel Kuhn,17,PSV Eindhoven,DF
Michael Bresser,17,PSV Eindhoven,DF
Tay Abed,20,PSV Eindhoven,MF
Emmanuel van de Blaak,19,PSV Eindhoven,DF
Niek Schiks,20,PSV Eindhoven,GK
Tijn Smolenaars,19,PSV Eindhoven,GK
Jesper Uneken,19,PSV Eindhoven,FW
Bradley Barcola,21,Paris Saint-Germain,FW
Gianluigi Donnarumma,25,Paris Saint-Germain,GK
Achraf Hakimi,25,Paris Saint-Germain,DF
Willian Pacho,22,Paris Saint-Germain,DF
Warren Zaïre-Emery,18,Paris Saint-Germain,MF
Lucas Beraldo,20,Paris Saint-Germain,DF
João Neves,19,Paris Saint-Germain,MF
Fabián Ruiz Peña,28,Paris Saint-Germain,MF
Vitinha,24,Paris Saint-Germain,MF
Ousmane Dembélé,27,Paris Saint-Germain,FW
Marquinhos,30,Paris Saint-Germain,DF
Nuno Mendes,22,Paris Saint-Germain,DF
Lee Kang-in,23,Paris Saint-Germain,FW
Désiré Doué,19,Paris Saint-Germain,MF
Gonçalo Ramos,23,Paris Saint-Germain,FW
Khvicha Kvaratskhelia,23,Paris Saint-Germain,FW
Lucas Hernández,28,Paris Saint-Germain,DF
Matvei Safonov,25,Paris Saint-Germain,GK
Senny Mayulu,18,Paris Saint-Germain,MF
Marco Asensio,28,Paris Saint-Germain,FW
Milan Škriniar,29,Paris Saint-Germain,DF
Ibrahim Mbaye,16,Paris Saint-Germain,FW
Randal Kolo Muani,25,Paris Saint-Germain,FW
Yoram Zague,18,Paris Saint-Germain,DF
Axel Tapé,16,Paris Saint-Germain,DF
Arnau Tenas,23,Paris Saint-Germain,GK
Noham Kamara,17,Paris Saint-Germain,DF
Presnel Kimpembe,28,Paris Saint-Germain,DF
Naoufel El Hannach,17,Paris Saint-Germain,DF
Louis Mouquet,20,Paris Saint-Germain,GK
Quentin Ndjantou Mbitcha,17,Paris Saint-Germain,FW
Wassim Slama,15,Paris Saint-Germain,MF
Carlos Soler,27,Paris Saint-Germain,MF
Anatolii Trubin,22,Benfica,GK
Álvaro Carreras,21,Benfica,DF
Nicolás Otamendi,36,Benfica,DF
Orkun Kökçü,23,Benfica,MF
Fredrik Aursnes,28,Benfica,MF
Tomás Araújo,22,Benfica,DF
Vangelis Pavlidis,25,Benfica,FW
Kerem Aktürkoğlu,25,Benfica,FW
Florentino Luís,24,Benfica,MF
António Silva,20,Benfica,DF
Ángel Di María,36,Benfica,FW
Alexander Bah,26,Benfica,DF
Leandro Barreiro Martins,24,Benfica,MF
Zeki Amdouni,23,Benfica,MF
Samuel Dahl,21,Benfica,MF
Jan-Niklas Beste,25,Benfica,DF
Bruma,29,Benfica,FW
